mZp_GeV,S_tt_pb,S_qq_pb
1500,0.3415300728604777,0.04791319790694686
1600,0.1781426863206406,0.016278804048139674
1700,0.09291953831104798,0.00564249153822978
1800,0.0484669945102199,0.0019748506696961273
1900,0.025280469528273446,0.0006940961670560184
2000,0.01318633734211019,0.00024423021447785096
2100,0.007104928244911779,9.1690515071073e-05
2200,0.0070929696588526965,0.00011976017494096186
2300,0.007081031200763327,0.0001559942472533326
2400,0.0062562201394878066,0.00015782473902546532
2500,0.005492060066689476,0.00015704399638868634
2600,0.00482123760091898,0.00015582784898051234
2700,0.004232352108728178,0.00015425760316493812
2800,0.004197137307613731,0.00019665499053040622
2900,0.004189009126853899,0.0002549665972882627
3000,0.004745226233208637,0.0004044444496301656
3100,0.004589087951397029,0.000542678151394985
3200,0.00407560536521255,0.0005573053296094692
3300,0.0036133787080629576,0.0005723267642390467
3400,0.0031963839636184703,0.000587753081948584
3500,0.002819422505022293,0.0006035951958307714
3600,0.0024777097856027715,0.0006198643131264063
3700,0.0021676887857270213,0.000636571943152771
3800,0.0018855892466031951,0.0006537299054457093
3900,0.0016356902299224177,0.0006814731136027939
